time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:27.839,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:27.890,192.168.225.67,1,0,ABA1ABA1ABA1ABA1ABA10028,24BE,43,S0,A,270,2,1,
8/11/15 10:36:29.575,192.168.225.66,2,0,E280681000000039129592FA,B112,45,S0,A,270,3,1,
8/11/15 10:21:27.910,192.168.225.67,1,0,FFFF22222222222222220100,8F09,47,S0,A,270,2,1,
8/11/15 10:21:27.941,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:27.981,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:36:29.655,192.168.225.66,2,3,FFFF22222222222222220100,8F09,47,S0,A,270,2,1,
8/11/15 10:21:27.981,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:36:29.725,192.168.225.66,2,0,E280681000000039129592FA,B112,45,S0,A,270,3,1,
8/11/15 10:21:28.390,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:36:30.064,192.168.225.66,1,3,3014025512745D8D15000012,234B,50,S0,A,270,2,1,
8/11/15 10:21:28.409,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:36:30.104,192.168.225.66,2,3,FFFF22222222222222220100,8F09,54,S0,A,270,2,1,
8/11/15 10:21:28.440,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:28.441,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:28.459,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:28.489,192.168.225.67,2,0,FFFF22222222222222220100,8F09,47,S0,A,270,2,1,
8/11/15 10:21:28.500,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10001,91F5,47,S0,A,270,2,1,
8/11/15 10:21:28.570,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:28.570,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
